"BehaviorSpace results (NetLogo 6.2.0)"
"Klein_Assignment6_code.nlogo"
"blue_fertility_and_carrying_capacity"
"03/06/2021 15:07:11:218 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","ticks"
"620","1500","2","2.2","120","120"
"619","1500","2","2.2","94","94"
"622","1500","2","2.3","65","65"
"621","1500","2","2.3","84","84"
"623","1500","2","2.3","49","49"
"625","1500","2","2.3","61","61"
"626","1500","2","2.3","52","52"
"624","1500","2","2.3","49","49"
"627","1500","2","2.3","71","71"
"629","1500","2","2.3","76","76"
"628","1500","2","2.3","75","75"
"631","1500","2","2.4","37","37"
"630","1500","2","2.3","50","50"
"633","1500","2","2.4","46","46"
"632","1500","2","2.4","62","62"
"634","1500","2","2.4","56","56"
"637","1500","2","2.4","42","42"
"636","1500","2","2.4","62","62"
"638","1500","2","2.4","44","44"
"635","1500","2","2.4","46","46"
"639","1500","2","2.4","51","51"
"641","1500","2","2.5","43","43"
"640","1500","2","2.4","60","60"
"642","1500","2","2.5","38","38"
"645","1500","2","2.5","33","33"
"644","1500","2","2.5","45","45"
"643","1500","2","2.5","68","68"
"648","1500","2","2.5","39","39"
"647","1500","2","2.5","42","42"
"646","1500","2","2.5","40","40"
"649","1500","2","2.5","42","42"
"651","1500","2","2.6","40","40"
"650","1500","2","2.5","50","50"
"653","1500","2","2.6","40","40"
"652","1500","2","2.6","36","36"
"654","1500","2","2.6","28","28"
"656","1500","2","2.6","34","34"
"658","1500","2","2.6","27","27"
"655","1500","2","2.6","52","52"
"657","1500","2","2.6","34","34"
"660","1500","2","2.6","32","32"
"661","1500","2","2.7","40","40"
"659","1500","2","2.6","52","52"
"663","1500","2","2.7","34","34"
"664","1500","2","2.7","25","25"
"665","1500","2","2.7","28","28"
"662","1500","2","2.7","45","45"
"668","1500","2","2.7","28","28"
"666","1500","2","2.7","32","32"
"667","1500","2","2.7","36","36"
"672","1500","2","2.8","23","23"
"670","1500","2","2.7","34","34"
"669","1500","2","2.7","44","44"
"671","1500","2","2.8","30","30"
"673","1500","2","2.8","31","31"
"676","1500","2","2.8","29","29"
"674","1500","2","2.8","32","32"
"675","1500","2","2.8","30","30"
"677","1500","2","2.8","32","32"
"678","1500","2","2.8","29","29"
"679","1500","2","2.8","27","27"
"680","1500","2","2.8","27","27"
"682","1500","2","2.9","21","21"
"681","1500","2","2.9","26","26"
"683","1500","2","2.9","25","25"
"686","1500","2","2.9","25","25"
"685","1500","2","2.9","30","30"
"687","1500","2","2.9","28","28"
"684","1500","2","2.9","31","31"
"688","1500","2","2.9","25","25"
"689","1500","2","2.9","24","24"
"690","1500","2","2.9","24","24"
"692","1500","2","3","24","24"
"693","1500","2","3","22","22"
"694","1500","2","3","23","23"
"691","1500","2","3","26","26"
"695","1500","2","3","23","23"
"696","1500","2","3","25","25"
"697","1500","2","3","22","22"
"698","1500","2","3","26","26"
"700","1500","2","3","24","24"
"701","1500","2","3.1","31","31"
"699","1500","2","3","37","37"
"703","1500","2","3.1","20","20"
"704","1500","2","3.1","22","22"
"705","1500","2","3.1","21","21"
"702","1500","2","3.1","23","23"
"706","1500","2","3.1","25","25"
"707","1500","2","3.1","22","22"
"708","1500","2","3.1","23","23"
"709","1500","2","3.1","21","21"
"710","1500","2","3.1","22","22"
"711","1500","2","3.2","26","26"
"712","1500","2","3.2","29","29"
"714","1500","2","3.2","17","17"
"713","1500","2","3.2","26","26"
"716","1500","2","3.2","20","20"
"717","1500","2","3.2","22","22"
"715","1500","2","3.2","31","31"
"718","1500","2","3.2","19","19"
"719","1500","2","3.2","18","18"
"720","1500","2","3.2","21","21"
"721","1500","2","3.3","25","25"
"723","1500","2","3.3","20","20"
"722","1500","2","3.3","19","19"
"724","1500","2","3.3","18","18"
"726","1500","2","3.3","20","20"
"725","1500","2","3.3","23","23"
"728","1500","2","3.3","18","18"
"727","1500","2","3.3","18","18"
"729","1500","2","3.3","18","18"
"731","1500","2","3.4","18","18"
"730","1500","2","3.3","27","27"
"732","1500","2","3.4","19","19"
"733","1500","2","3.4","27","27"
"734","1500","2","3.4","26","26"
"735","1500","2","3.4","20","20"
"736","1500","2","3.4","22","22"
"739","1500","2","3.4","20","20"
"738","1500","2","3.4","19","19"
"737","1500","2","3.4","27","27"
"740","1500","2","3.4","15","15"
"742","1500","2","3.5","17","17"
"741","1500","2","3.5","23","23"
"743","1500","2","3.5","17","17"
"744","1500","2","3.5","16","16"
"746","1500","2","3.5","17","17"
"747","1500","2","3.5","17","17"
"745","1500","2","3.5","23","23"
"748","1500","2","3.5","17","17"
"750","1500","2","3.5","19","19"
"751","1500","2","3.6","17","17"
"749","1500","2","3.5","30","30"
"752","1500","2","3.6","16","16"
"753","1500","2","3.6","17","17"
"754","1500","2","3.6","17","17"
"755","1500","2","3.6","16","16"
"758","1500","2","3.6","13","13"
"757","1500","2","3.6","17","17"
"759","1500","2","3.6","17","17"
"760","1500","2","3.6","13","13"
"756","1500","2","3.6","24","24"
"761","1500","2","3.7","14","14"
"763","1500","2","3.7","14","14"
"762","1500","2","3.7","20","20"
"765","1500","2","3.7","20","20"
"764","1500","2","3.7","17","17"
"766","1500","2","3.7","16","16"
"767","1500","2","3.7","15","15"
"768","1500","2","3.7","18","18"
"770","1500","2","3.7","13","13"
"771","1500","2","3.8","16","16"
"769","1500","2","3.7","21","21"
"772","1500","2","3.8","15","15"
"773","1500","2","3.8","18","18"
"774","1500","2","3.8","17","17"
"776","1500","2","3.8","14","14"
"775","1500","2","3.8","16","16"
"777","1500","2","3.8","18","18"
"778","1500","2","3.8","19","19"
"779","1500","2","3.8","20","20"
"781","1500","2","3.9","14","14"
"780","1500","2","3.8","17","17"
"783","1500","2","3.9","17","17"
"784","1500","2","3.9","15","15"
"782","1500","2","3.9","24","24"
"785","1500","2","3.9","16","16"
"786","1500","2","3.9","16","16"
"787","1500","2","3.9","16","16"
"788","1500","2","3.9","15","15"
"789","1500","2","3.9","13","13"
"791","1500","2","4","12","12"
"790","1500","2","3.9","14","14"
"792","1500","2","4","19","19"
"794","1500","2","4","13","13"
"795","1500","2","4","12","12"
"793","1500","2","4","16","16"
"796","1500","2","4","11","11"
"797","1500","2","4","16","16"
"798","1500","2","4","15","15"
"800","1500","2","4","14","14"
"799","1500","2","4","15","15"
"801","1500","2","4.1","13","13"
"802","1500","2","4.1","13","13"
"803","1500","2","4.1","13","13"
"805","1500","2","4.1","14","14"
"804","1500","2","4.1","15","15"
"806","1500","2","4.1","14","14"
"808","1500","2","4.1","12","12"
"809","1500","2","4.1","11","11"
"807","1500","2","4.1","20","20"
"810","1500","2","4.1","15","15"
"811","1500","2","4.2","13","13"
"812","1500","2","4.2","13","13"
"813","1500","2","4.2","15","15"
"814","1500","2","4.2","19","19"
"815","1500","2","4.2","11","11"
"816","1500","2","4.2","15","15"
"817","1500","2","4.2","17","17"
"818","1500","2","4.2","17","17"
"819","1500","2","4.2","18","18"
"821","1500","2","4.3","12","12"
"820","1500","2","4.2","12","12"
"822","1500","2","4.3","12","12"
